route_no,total_demand,required_buses,bus_stops_covered
11NS,1453,36,"THIRUVETRIYUR B.S, THIRUVOTRIYUR TEMPLE,  THANGAL,  ANNA NAGAR,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  T.N.C.F,  P.OR & SONS,  WESLEY H.S,  Y.M.I.A,  MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR O.T.,  ADAYAR B.S., THIRUVANMIYUR"
12A,1463,36,"ANNA SQUARE, TRIPLICANE,  P.OR & SONS,  CENTRAL,  REGAL,  VYASARPADI,  MAHAKAVI BHARATHI NAGAR,  SIDCO, KAVIARASU KANNADASAN NAGA"
13A,1465,36,"HIGH COURT, CENTRAL,  P.OR & SONS,  WESLEY H.S,  C.I.T.COLONY,  MYLAPORE, MANDAVELI"
15K,973,24,"MYLAPORE, DEVANATHAN ST / MANDAVELI,  A.M.S.HOSPITAL,  ADAYAR B.S.,  WOMEN'S POLYTECHNIC, TARAMANI"
15S,1465,36,"T.NAGAR, S.H.B,  KOTTURPURAM,  JN OF GANDHIMANDABAM&SARD.,  ADAYAR B.S.,  ADAYAR DEPOT, THIRUVANMIYUR"
15T,1467,36,"VADAPALANI B.S, Jn.OF P.T.R Rd/KAMARAJ Rd,  MUTHUMARIAMMAN KOIL,  KALAIGNAR NAGAR,  GOVT. GIRLS H.SC,  ANJUGAM SCHOOL,  T.NAGAR,  SAIDAPET,  CONCORDE,  ENG.COLLEGE,  WOMEN'S POLYTECHNIC, TARAMANI"
16F,1462,36,"AIR NAGAR, THIRUVETRIYUR B.S,  THIRUVOTRIYUR TEMPLE,  THANGAL,  N4 POLICE STATION,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  CHEPAUK,  Q.M.C, FORE SHORE ESTATE"
18B,1473,36,"BROADWAY, PARRYS,  CLIVE BATTERY,  V. NAGAR,  P1 P.S,  JAMALAYA,  VEENUS, T.V.K.NAGAR"
11A,1473,36,"TOLLGATE, TONDAIAYRPET,  ROYAPURAM P.S,  CLIVE BATTERY,  PARRYS,  CENTRAL,  EGMORE,  MATERNITY HOSPITAL,  D.P.I,  UTHAMAR GANDHISALAI (CORP,  VIDYODAYA,  PONDY BAZAAR,  T.NAGAR,  SRINIVASA THEATER, SAIDAPET WEST"
11E,1471,36,"BROADWAY, CENTRAL,  EGMORE,  MATERNITY HOSPITAL,  D.P.I,  STERLING ROAD,  VIDYODAYA,  VIVEK & CO (KRISHNAN KOIL,  T.NAGAR,  SRINIVASA THEATER,  GOVT. GIRLS H.SC,  JAFFARKHAN PET, EKKATTUTHANGAL"
11,1473,36,"BROADWAY, CENTRAL,  P.OR & SONS,  T.V.S,  SUN THEATER,  TELEGRAPH OFFICE, T.NAGAR"
116L,1476,36,"BROADWAY, PARRYS,  CLIVE BATTERY,  V. NAGAR,  SATHIYAMOORTHY NAGAR,  M.K.B.NAGAR,  SIDCO,  JN.OF MANALI RD.CHINNA KO, KODUNGAIYUR(PARVATHI NAGA"
118,1467,36,"TAMBARAM, IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR,  VANDALOOR ZOO,  OORAPAKKAM SCHOOL,  PALAKKA COMPANY,  GUDUVANCHERY,  THAILAPURAM,  MARAIMALAI NAGAR,  PAVENTHER SALAI, MARAIMALAI NAGAR I.E."
118ET,977,24,"TAMBARAM., IRUMBULIYUR,  PERUNGULATHUR,  VANDALOOR,  VANDALOOR ZOO,  OORAPAKKAM SCHOOL,  PALAKKA COMPANY,  GUDUVANCHERY,  THAILAPURAM,  MARAIMALAI NAGAR,  PAVENTHER SALAI,  MARAIMALAI NAGAR P.S.JN.,  GUDALOOR TEA SHOP,  KARUNEELAM KOOT ROAD,  KADAMBUR, KALIVANTHAPATTU"
119B,1462,36,"GUINDY TVK ESTATE, CONCORDE,  ANNA UNIVERSITY,  ADAYAR B.S.,  ADAYAR DEPOT,  LATTICE BRIDGE,  MEDAVAKKAM COLONY,  THORAPPAKKAM TEA SHOP,  MOOTAKARAN CHAVADI,  KARAPAKKAM,  SOZHINGANALLUR P.U.OFFICE,  KUMARAN NAGAR,  NUCLEUS COMPANY, CHEMMANCHERY S.C.B."
121B,1457,36,"MINJUR NEW TERMINUS, MINJUR B.D.O,  PATTAMANDIRI,  KONDAKKARAI,  NAPALAYAM,  ECHANKUZHI,  ANDAKUPPAM,  JN., OF PONNERI RD, &ERANOO,  MANALI RD JN.,  MANALAI SEEKADU,  MADHAVARAM MILLK COLONY,  MADHAVARAM POST BOX,  MOOLAKADAI,  MADHAVARAM,  BUS BAY-17TH KM,  MALLIGAI NAGAR AVE,  WATER PIPE THANTHANKUPPAM,  WEELS INDIA RD.JN.,  THIRUMANGALAM,  KOYAMBEDU SCHOOL,  KOYAMBEDU P.S, C.M.B.T."
